"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20969","test_yandex_logo_opens_dzen","tests","Thu Jul 10 08:57:19 CST 2025","passed","Thu Jul 10 08:57:40 CST 2025","TestHeaderLinks","test_header_links","",""
"","10031","test_questions_and_answers[3]","tests","Thu Jul 10 08:58:17 CST 2025","passed","Thu Jul 10 08:58:27 CST 2025","TestMainPage","test_main_page","",""
"","10899","test_create_order[locator1-order_data1]","tests","Thu Jul 10 08:59:28 CST 2025","passed","Thu Jul 10 08:59:39 CST 2025","TestOrderPage","test_order_flow","",""
"","10736","test_questions_and_answers[0]","tests","Thu Jul 10 08:57:42 CST 2025","passed","Thu Jul 10 08:57:53 CST 2025","TestMainPage","test_main_page","",""
"","9591","test_questions_and_answers[4]","tests","Thu Jul 10 08:58:29 CST 2025","passed","Thu Jul 10 08:58:38 CST 2025","TestMainPage","test_main_page","",""
"","11655","test_questions_and_answers[7]","tests","Thu Jul 10 08:59:00 CST 2025","passed","Thu Jul 10 08:59:12 CST 2025","TestMainPage","test_main_page","",""
"","9922","test_questions_and_answers[1]","tests","Thu Jul 10 08:57:55 CST 2025","passed","Thu Jul 10 08:58:05 CST 2025","TestMainPage","test_main_page","",""
"","7659","test_questions_and_answers[6]","tests","Thu Jul 10 08:58:51 CST 2025","passed","Thu Jul 10 08:58:58 CST 2025","TestMainPage","test_main_page","",""
"","11688","test_create_order[locator0-order_data0]","tests","Thu Jul 10 08:59:14 CST 2025","passed","Thu Jul 10 08:59:26 CST 2025","TestOrderPage","test_order_flow","",""
"","9382","test_scooter_logo_redirects_to_home","tests","Thu Jul 10 08:57:07 CST 2025","passed","Thu Jul 10 08:57:17 CST 2025","TestHeaderLinks","test_header_links","",""
"","8427","test_questions_and_answers[5]","tests","Thu Jul 10 08:58:40 CST 2025","passed","Thu Jul 10 08:58:49 CST 2025","TestMainPage","test_main_page","",""
"","8621","test_questions_and_answers[2]","tests","Thu Jul 10 08:58:06 CST 2025","passed","Thu Jul 10 08:58:15 CST 2025","TestMainPage","test_main_page","",""
